Samples: 10000, Batch size: 32, Epochs: 2000, Noise: 10 %
Learning rate: 0.01, Momentum: 0.0001, Weight decay: 1e-05 %
 

Eeg Data: data/new/multiple_dipoles_eeg_10000_1.npy
Target Data: data/new/multiple_dipoles_locations_10000_1.npy
--------------------------------------------------------------
 Target: tensor([0.3282, 0.5396, 0.3016, 0.6330, 0.1668]) 
Predicted: tensor([0.3028, 0.5732, 0.3114, 0.6740, 0.1572], grad_fn=<SelectBackward0>) 

Epoch   34/1999 | Train: 0.0627520701 | Test: 0.0652202801 
Epoch 1069/1999 | Train: 0.042061 | Test: 0.052151 
Epoch 1401/1999 | Train: 0.037509 | Test: 0.052424 
Epoch   35/1999 | Train: 0.0625148626 | Test: 0.0651146911 
Epoch   36/1999 | Train: 0.0623161875 | Test: 0.0648432182 
Epoch 1402/1999 | Train: 0.037509 | Test: 0.052424 
Epoch 1070/1999 | Train: 0.042061 | Test: 0.052151 
Epoch   37/1999 | Train: 0.0621093582 | Test: 0.0646717032 
Epoch 1403/1999 | Train: 0.037509 | Test: 0.052424 
Epoch   38/1999 | Train: 0.0618969785 | Test: 0.0644798326 
Epoch 1404/1999 | Train: 0.037509 | Test: 0.052424 
Epoch   39/1999 | Train: 0.0617212450 | Test: 0.0643159163 
Epoch 1071/1999 | Train: 0.042061 | Test: 0.052151 
Epoch 1405/1999 | Train: 0.037509 | Test: 0.052424 
Epoch   40/1999 | Train: 0.0615213215 | Test: 0.0641214587 
Epoch 1406/1999 | Train: 0.037509 | Test: 0.052424 
Epoch   41/1999 | Train: 0.0613610275 | Test: 0.0639934566 
Epoch 1072/1999 | Train: 0.042061 | Test: 0.052151 
Epoch   42/1999 | Train: 0.0611721411 | Test: 0.0637611388 
Epoch 1407/1999 | Train: 0.037509 | Test: 0.052424 
Epoch   43/1999 | Train: 0.0609977730 | Test: 0.0635759915 
Epoch 1408/1999 | Train: 0.037509 | Test: 0.052424 
Epoch   44/1999 | Train: 0.0608207616 | Test: 0.0635186645 
Epoch 1073/1999 | Train: 0.042061 | Test: 0.052151 
Epoch 1409/1999 | Train: 0.037509 | Test: 0.052424 
Epoch   45/1999 | Train: 0.0606812910 | Test: 0.0633600901 
Epoch 1410/1999 | Train: 0.037509 | Test: 0.052424 
