Samples: 10000, Batch size: 84, Epochs: 5000, Noise: 10 %
Learning rate: 0.01, Momentum: 0.0001, Weight decay: 0.001 %
 

Eeg Data: data/new/multiple_dipoles_eeg_10000_1.npy
Target Data: data/new/multiple_dipoles_locations_10000_1.npy
--------------------------------------------------------------
Epoch 2413/4999 | Train: 0.002078 | Test: 0.004523 
Epoch    0/4999 | Train: 0.135084 | Test: 0.074393 

 Target: tensor([0.2011, 0.1608, 0.5095, 0.1481, 0.1481]) 
Predicted: tensor([0.2491, 0.3737, 0.3737, 0.1226, 0.0633], grad_fn=<SelectBackward0>) 

 Target: tensor([0.8158, 0.6458, 0.0498, 0.0050, 0.0050]) 
Predicted: tensor([ 0.1998,  0.2098,  0.2721,  0.0799, -0.0226],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.1972, 0.2904, 0.8022, 0.0273, 0.0273]) 
Predicted: tensor([ 0.2215,  0.2379,  0.2979,  0.0824, -0.0251],
       grad_fn=<SelectBackward0>) 

Epoch   43/4999 | Train: 0.022756 | Test: 0.023012 
Epoch 2457/4999 | Train: 0.002040 | Test: 0.004226 
Epoch   44/4999 | Train: 0.022576 | Test: 0.022885 
Epoch 2458/4999 | Train: 0.002033 | Test: 0.004217 
Epoch   45/4999 | Train: 0.022446 | Test: 0.022772 
Epoch 2459/4999 | Train: 0.002037 | Test: 0.004440 
Epoch   46/4999 | Train: 0.022333 | Test: 0.022652 
Epoch 2460/4999 | Train: 0.002058 | Test: 0.004238 
Epoch   47/4999 | Train: 0.022264 | Test: 0.022544 
Epoch 2461/4999 | Train: 0.002014 | Test: 0.004197 
Epoch   48/4999 | Train: 0.022106 | Test: 0.022416 
Epoch 2462/4999 | Train: 0.002097 | Test: 0.004364 
Epoch   49/4999 | Train: 0.022003 | Test: 0.022309 
Epoch 2463/4999 | Train: 0.002037 | Test: 0.004370 
Epoch   50/4999 | Train: 0.021880 | Test: 0.022218 
Epoch 2464/4999 | Train: 0.002067 | Test: 0.004246 
Epoch   51/4999 | Train: 0.021766 | Test: 0.022106 
Epoch 2465/4999 | Train: 0.002022 | Test: 0.004412 
Epoch   52/4999 | Train: 0.021710 | Test: 0.022007 
Epoch 2466/4999 | Train: 0.002016 | Test: 0.004231 
Epoch   53/4999 | Train: 0.021585 | Test: 0.021897 
Epoch 2467/4999 | Train: 0.002074 | Test: 0.004214 
Epoch   54/4999 | Train: 0.021511 | Test: 0.021809 
Epoch 2468/4999 | Train: 0.002078 | Test: 0.004792 
Epoch   55/4999 | Train: 0.021439 | Test: 0.021709 
Epoch 2469/4999 | Train: 0.002041 | Test: 0.004211 
Epoch   56/4999 | Train: 0.021264 | Test: 0.021618 
Epoch 2470/4999 | Train: 0.002008 | Test: 0.004404 
Epoch   57/4999 | Train: 0.021210 | Test: 0.021535 
Epoch 2471/4999 | Train: 0.002013 | Test: 0.004300 
Epoch   58/4999 | Train: 0.021065 | Test: 0.021444 
Epoch 2472/4999 | Train: 0.002027 | Test: 0.005426 
Epoch   59/4999 | Train: 0.021069 | Test: 0.021351 
Epoch 2473/4999 | Train: 0.002024 | Test: 0.004720 
Epoch   60/4999 | Train: 0.020944 | Test: 0.021267 
Epoch 2474/4999 | Train: 0.002070 | Test: 0.004276 
Epoch   61/4999 | Train: 0.020812 | Test: 0.021187 
Epoch 2475/4999 | Train: 0.002035 | Test: 0.004214 
Epoch   62/4999 | Train: 0.020752 | Test: 0.021102 
Epoch 2476/4999 | Train: 0.002020 | Test: 0.004271 
Epoch   63/4999 | Train: 0.020661 | Test: 0.021021 
Epoch 2477/4999 | Train: 0.002022 | Test: 0.004228 
Epoch   64/4999 | Train: 0.020611 | Test: 0.020936 
Epoch 2478/4999 | Train: 0.002014 | Test: 0.004952 
Epoch   65/4999 | Train: 0.020557 | Test: 0.020864 
Epoch 2479/4999 | Train: 0.002038 | Test: 0.004453 
Epoch   66/4999 | Train: 0.020465 | Test: 0.020785 
Epoch 2480/4999 | Train: 0.002017 | Test: 0.004527 
Epoch   67/4999 | Train: 0.020357 | Test: 0.020705 
Epoch 2481/4999 | Train: 0.002049 | Test: 0.004375 
Epoch   68/4999 | Train: 0.020286 | Test: 0.020634 
Epoch 2482/4999 | Train: 0.002001 | Test: 0.004220 
Epoch   69/4999 | Train: 0.020229 | Test: 0.020564 
Epoch 2483/4999 | Train: 0.002015 | Test: 0.004324 
Epoch   70/4999 | Train: 0.020137 | Test: 0.020488 
Epoch 2484/4999 | Train: 0.002014 | Test: 0.004243 
Epoch   71/4999 | Train: 0.020079 | Test: 0.020421 
Epoch 2485/4999 | Train: 0.002022 | Test: 0.004534 
Epoch   72/4999 | Train: 0.020010 | Test: 0.020353 
Epoch 2486/4999 | Train: 0.002029 | Test: 0.004213 
Epoch   73/4999 | Train: 0.019954 | Test: 0.020283 
Epoch 2487/4999 | Train: 0.002006 | Test: 0.004613 
Epoch   74/4999 | Train: 0.019880 | Test: 0.020214 
Epoch 2488/4999 | Train: 0.002015 | Test: 0.004370 
Epoch   75/4999 | Train: 0.019823 | Test: 0.020145 
Epoch 2489/4999 | Train: 0.002101 | Test: 0.004820 
Epoch   76/4999 | Train: 0.019759 | Test: 0.020087 
Epoch 2490/4999 | Train: 0.002049 | Test: 0.004302 
Epoch   77/4999 | Train: 0.019715 | Test: 0.020018 
Epoch 2491/4999 | Train: 0.002028 | Test: 0.004296 
Epoch   78/4999 | Train: 0.019619 | Test: 0.019956 
Epoch 2492/4999 | Train: 0.002022 | Test: 0.004243 
Epoch   79/4999 | Train: 0.019576 | Test: 0.019890 
Epoch 2493/4999 | Train: 0.002033 | Test: 0.004314 
Epoch   80/4999 | Train: 0.019559 | Test: 0.019835 
Epoch 2494/4999 | Train: 0.002019 | Test: 0.004383 
Epoch   81/4999 | Train: 0.019421 | Test: 0.019778 
Epoch 2495/4999 | Train: 0.002060 | Test: 0.004380 
Epoch   82/4999 | Train: 0.019347 | Test: 0.019714 
Epoch 2496/4999 | Train: 0.001972 | Test: 0.005009 
Epoch   83/4999 | Train: 0.019304 | Test: 0.019658 
Epoch 2497/4999 | Train: 0.001999 | Test: 0.004354 
Epoch   84/4999 | Train: 0.019295 | Test: 0.019595 
Epoch 2498/4999 | Train: 0.002017 | Test: 0.004825 
Epoch   85/4999 | Train: 0.019147 | Test: 0.019535 
Epoch 2499/4999 | Train: 0.002011 | Test: 0.004363 
Epoch   86/4999 | Train: 0.019146 | Test: 0.019480 
Epoch 2500/4999 | Train: 0.002019 | Test: 0.004298 

 Target: tensor([0.2011, 0.1608, 0.5095, 1.0000]) 
Predicted: tensor([0.1999, 0.1779, 0.5080, 0.9676], grad_fn=<SelectBackward0>) 

 Target: tensor([0.8158, 0.6458, 0.0498, 1.0000]) 
Predicted: tensor([0.7926, 0.5978, 0.0954, 0.2033], grad_fn=<SelectBackward0>) 

 Target: tensor([0.1972, 0.2904, 0.8022, 0.3750]) 
Predicted: tensor([0.2081, 0.2890, 0.7973, 0.2122], grad_fn=<SelectBackward0>) 

Epoch   87/4999 | Train: 0.019141 | Test: 0.019420 
Epoch 2501/4999 | Train: 0.001992 | Test: 0.004206 
Epoch   88/4999 | Train: 0.019029 | Test: 0.019362 
Epoch 2502/4999 | Train: 0.002004 | Test: 0.004446 
Epoch   89/4999 | Train: 0.018954 | Test: 0.019310 
Epoch 2503/4999 | Train: 0.001967 | Test: 0.004475 
Epoch   90/4999 | Train: 0.018901 | Test: 0.019255 
Epoch 2504/4999 | Train: 0.001973 | Test: 0.004292 
Epoch   91/4999 | Train: 0.018869 | Test: 0.019203 
Epoch 2505/4999 | Train: 0.002034 | Test: 0.004598 
Epoch   92/4999 | Train: 0.018798 | Test: 0.019142 
Epoch 2506/4999 | Train: 0.002018 | Test: 0.004575 
Epoch   93/4999 | Train: 0.018707 | Test: 0.019098 
Epoch 2507/4999 | Train: 0.002011 | Test: 0.004838 
Epoch   94/4999 | Train: 0.018678 | Test: 0.019033 
Epoch 2508/4999 | Train: 0.001950 | Test: 0.004309 
Epoch   95/4999 | Train: 0.018662 | Test: 0.018993 
Epoch 2509/4999 | Train: 0.002008 | Test: 0.004250 
Epoch   96/4999 | Train: 0.018613 | Test: 0.018933 
Epoch 2510/4999 | Train: 0.002013 | Test: 0.005412 
Epoch   97/4999 | Train: 0.018568 | Test: 0.018883 
Epoch 2511/4999 | Train: 0.002036 | Test: 0.004280 
Epoch   98/4999 | Train: 0.018463 | Test: 0.018828 
