Samples: 10000, Batch size: 32, Epochs: 500, Noise: 10 %
Learning rate: 0.1, Momentum: 0.0001, Weight decay: 1e-05 %
 

Eeg Data: data/new/multiple_dipoles_eeg_10000_1.npy
Target Data: data/new/multiple_dipoles_locations_10000_1.npy
--------------------------------------------------------------
Epoch   43/ 499 | Train: 0.005177 | Test: 0.004554 
Epoch  181/ 499 | Train: 0.003416 | Test: 0.003856 
Epoch   44/ 499 | Train: 0.005105 | Test: 0.004512 
Epoch  182/ 499 | Train: 0.003415 | Test: 0.003840 
Epoch   45/ 499 | Train: 0.005057 | Test: 0.004815 
Epoch  183/ 499 | Train: 0.003413 | Test: 0.003846 
Epoch   46/ 499 | Train: 0.005107 | Test: 0.004390 
Epoch  184/ 499 | Train: 0.003414 | Test: 0.003853 
Epoch   47/ 499 | Train: 0.004956 | Test: 0.004503 
Epoch  185/ 499 | Train: 0.003414 | Test: 0.003836 
Epoch   48/ 499 | Train: 0.005017 | Test: 0.004399 
Epoch  186/ 499 | Train: 0.003411 | Test: 0.003841 
Epoch   49/ 499 | Train: 0.004987 | Test: 0.005223 
Epoch  187/ 499 | Train: 0.003410 | Test: 0.003855 
Epoch   50/ 499 | Train: 0.005000 | Test: 0.004370 
Epoch  188/ 499 | Train: 0.003410 | Test: 0.003840 
Epoch   51/ 499 | Train: 0.004853 | Test: 0.004459 
Epoch  189/ 499 | Train: 0.003408 | Test: 0.003837 
Epoch   52/ 499 | Train: 0.004941 | Test: 0.004333 
Epoch  190/ 499 | Train: 0.003407 | Test: 0.003857 
Epoch   53/ 499 | Train: 0.004889 | Test: 0.004327 
Epoch  191/ 499 | Train: 0.003408 | Test: 0.003837 
Epoch   54/ 499 | Train: 0.004899 | Test: 0.004303 
Epoch  192/ 499 | Train: 0.003406 | Test: 0.003845 
Epoch   55/ 499 | Train: 0.004845 | Test: 0.004398 
Epoch  193/ 499 | Train: 0.003406 | Test: 0.003849 
Epoch   56/ 499 | Train: 0.004792 | Test: 0.004249 
Epoch  194/ 499 | Train: 0.003405 | Test: 0.003841 
Epoch   57/ 499 | Train: 0.004744 | Test: 0.004556 
Epoch  195/ 499 | Train: 0.003405 | Test: 0.003842 
Epoch   58/ 499 | Train: 0.004794 | Test: 0.004734 
Epoch  196/ 499 | Train: 0.003403 | Test: 0.003845 
Epoch   59/ 499 | Train: 0.004702 | Test: 0.004444 
Epoch  197/ 499 | Train: 0.003405 | Test: 0.003838 
Epoch   60/ 499 | Train: 0.004747 | Test: 0.004184 
Epoch  198/ 499 | Train: 0.003404 | Test: 0.003840 
Epoch   61/ 499 | Train: 0.004661 | Test: 0.005102 
Epoch  199/ 499 | Train: 0.003402 | Test: 0.003851 
Epoch   62/ 499 | Train: 0.004656 | Test: 0.004156 
Epoch  200/ 499 | Train: 0.003399 | Test: 0.003845 

 Target: tensor([0.2011, 0.1608, 0.5095, 1.0000]) 
Predicted: tensor([0.2019, 0.1412, 0.5043, 0.9482], grad_fn=<SelectBackward0>) 

 Target: tensor([0.4375, 0.1434, 0.2800, 0.1250]) 
Predicted: tensor([0.4615, 0.0948, 0.2033, 0.1333], grad_fn=<SelectBackward0>) 

