Samples: 10000, Batch size: 32, Epochs: 500, Noise: 5 %
Learning rate: 0.1, Momentum: 0.0001, Weight decay: 1e-05 %
 

Eeg Data: data/new/multiple_dipoles_eeg_10000_2.npy
Target Data: data/new/multiple_dipoles_locations_10000_2.npy
--------------------------------------------------------------
Epoch    0/ 499 | Train: 0.060324 | Test: 0.045553 

 Target: tensor([0.4351, 0.2372, 0.4562, 0.0231, 0.2249, 0.4135, 0.5371, 0.0231]) 
Predicted: tensor([0.4273, 0.4538, 0.5038, 0.2180, 0.4301, 0.4515, 0.4204, 0.2194],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.8092, 0.7647, 0.5629, 0.0730, 0.1909, 0.2333, 0.6115, 0.0730]) 
Predicted: tensor([0.4285, 0.4634, 0.5106, 0.2350, 0.4410, 0.4599, 0.4323, 0.2340],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.4237, 0.7317, 0.8553, 0.2388, 0.1628, 0.6739, 0.6380, 0.2388]) 
Predicted: tensor([0.4617, 0.4603, 0.5178, 0.4174, 0.4364, 0.4799, 0.4893, 0.4305],
       grad_fn=<SelectBackward0>) 

Epoch   82/ 499 | Train: 0.024664 | Test: 0.025231 
Epoch   83/ 499 | Train: 0.024654 | Test: 0.025203 
Epoch   84/ 499 | Train: 0.024646 | Test: 0.025245 
Epoch   85/ 499 | Train: 0.024643 | Test: 0.025209 
Epoch   86/ 499 | Train: 0.024632 | Test: 0.025203 
Epoch   87/ 499 | Train: 0.024636 | Test: 0.025198 
Epoch   88/ 499 | Train: 0.024626 | Test: 0.025275 
Epoch   89/ 499 | Train: 0.024626 | Test: 0.025181 
Epoch   90/ 499 | Train: 0.024616 | Test: 0.025234 
Epoch   91/ 499 | Train: 0.024613 | Test: 0.025241 
Epoch   92/ 499 | Train: 0.024597 | Test: 0.025208 
Epoch   93/ 499 | Train: 0.024605 | Test: 0.025199 
Epoch   94/ 499 | Train: 0.024590 | Test: 0.025232 
Epoch   95/ 499 | Train: 0.024584 | Test: 0.025228 
Epoch   96/ 499 | Train: 0.024576 | Test: 0.025171 
Epoch   97/ 499 | Train: 0.024576 | Test: 0.025198 
Epoch   98/ 499 | Train: 0.024571 | Test: 0.025186 
Epoch   99/ 499 | Train: 0.024563 | Test: 0.025191 
Epoch  100/ 499 | Train: 0.024564 | Test: 0.025247 

 Target: tensor([0.4351, 0.2372, 0.4562, 0.0231, 0.2249, 0.4135, 0.5371, 0.0231]) 
Predicted: tensor([0.5033, 0.4997, 0.5167, 0.0542, 0.2351, 0.4634, 0.5166, 0.0506],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.8092, 0.7647, 0.5629, 0.0730, 0.1909, 0.2333, 0.6115, 0.0730]) 
Predicted: tensor([0.4957, 0.4984, 0.5007, 0.0817, 0.1946, 0.2787, 0.5660, 0.0792],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.4237, 0.7317, 0.8553, 0.2388, 0.1628, 0.6739, 0.6380, 0.2388]) 
Predicted: tensor([0.4869, 0.5041, 0.5577, 0.3023, 0.1303, 0.7040, 0.6478, 0.3081],
       grad_fn=<SelectBackward0>) 

Epoch  101/ 499 | Train: 0.024557 | Test: 0.025170 
Epoch  102/ 499 | Train: 0.024548 | Test: 0.025224 
Epoch  103/ 499 | Train: 0.024544 | Test: 0.025163 
Epoch  104/ 499 | Train: 0.024542 | Test: 0.025203 
Epoch  105/ 499 | Train: 0.024529 | Test: 0.025173 
Epoch  106/ 499 | Train: 0.024524 | Test: 0.025200 
Epoch  107/ 499 | Train: 0.024511 | Test: 0.025189 
Epoch  108/ 499 | Train: 0.024517 | Test: 0.025188 
Epoch  109/ 499 | Train: 0.024513 | Test: 0.025167 
Epoch  110/ 499 | Train: 0.024501 | Test: 0.025170 
Epoch  111/ 499 | Train: 0.024499 | Test: 0.025160 
Epoch  112/ 499 | Train: 0.024491 | Test: 0.025184 
Epoch  113/ 499 | Train: 0.024483 | Test: 0.025182 
Epoch  114/ 499 | Train: 0.024482 | Test: 0.025200 
Epoch  115/ 499 | Train: 0.024480 | Test: 0.025225 
Epoch  116/ 499 | Train: 0.024461 | Test: 0.025207 
Epoch  117/ 499 | Train: 0.024459 | Test: 0.025190 
Epoch  118/ 499 | Train: 0.024454 | Test: 0.025183 
Epoch  119/ 499 | Train: 0.024459 | Test: 0.025162 
Epoch  120/ 499 | Train: 0.024451 | Test: 0.025239 
Epoch  121/ 499 | Train: 0.024443 | Test: 0.025192 
Epoch  122/ 499 | Train: 0.024394 | Test: 0.025149 
Epoch  123/ 499 | Train: 0.024389 | Test: 0.025156 
Epoch  124/ 499 | Train: 0.024388 | Test: 0.025148 
Epoch  125/ 499 | Train: 0.024389 | Test: 0.025149 
Epoch  126/ 499 | Train: 0.024384 | Test: 0.025146 
Epoch  127/ 499 | Train: 0.024385 | Test: 0.025150 
Epoch  128/ 499 | Train: 0.024385 | Test: 0.025162 
Epoch  129/ 499 | Train: 0.024382 | Test: 0.025145 
Epoch  130/ 499 | Train: 0.024382 | Test: 0.025144 
Epoch  131/ 499 | Train: 0.024380 | Test: 0.025145 
Epoch  132/ 499 | Train: 0.024379 | Test: 0.025138 
Epoch  133/ 499 | Train: 0.024379 | Test: 0.025152 
Epoch  134/ 499 | Train: 0.024374 | Test: 0.025161 
Epoch  135/ 499 | Train: 0.024376 | Test: 0.025148 
Epoch  136/ 499 | Train: 0.024373 | Test: 0.025141 
Epoch  137/ 499 | Train: 0.024372 | Test: 0.025150 
Epoch  138/ 499 | Train: 0.024371 | Test: 0.025161 
Epoch  139/ 499 | Train: 0.024370 | Test: 0.025153 
Epoch  140/ 499 | Train: 0.024370 | Test: 0.025163 
Epoch  141/ 499 | Train: 0.024368 | Test: 0.025157 
Epoch  142/ 499 | Train: 0.024366 | Test: 0.025150 
Epoch  143/ 499 | Train: 0.024364 | Test: 0.025167 
Epoch  144/ 499 | Train: 0.024365 | Test: 0.025158 
Epoch  145/ 499 | Train: 0.024365 | Test: 0.025145 
Epoch  146/ 499 | Train: 0.024362 | Test: 0.025147 
Epoch  147/ 499 | Train: 0.024359 | Test: 0.025145 
Epoch  148/ 499 | Train: 0.024359 | Test: 0.025144 
Epoch  149/ 499 | Train: 0.024356 | Test: 0.025148 
Epoch  150/ 499 | Train: 0.024359 | Test: 0.025154 
Epoch  151/ 499 | Train: 0.024354 | Test: 0.025142 
Epoch  152/ 499 | Train: 0.024355 | Test: 0.025155 
Epoch  153/ 499 | Train: 0.024353 | Test: 0.025142 
Epoch  154/ 499 | Train: 0.024353 | Test: 0.025153 
Epoch  155/ 499 | Train: 0.024351 | Test: 0.025148 
Epoch  156/ 499 | Train: 0.024351 | Test: 0.025152 
Epoch  157/ 499 | Train: 0.024348 | Test: 0.025145 
Epoch  158/ 499 | Train: 0.024345 | Test: 0.025146 
Epoch  159/ 499 | Train: 0.024349 | Test: 0.025154 
Epoch  160/ 499 | Train: 0.024343 | Test: 0.025148 
Epoch  161/ 499 | Train: 0.024343 | Test: 0.025157 
Epoch  162/ 499 | Train: 0.024344 | Test: 0.025142 
Epoch  163/ 499 | Train: 0.024341 | Test: 0.025152 
Epoch  164/ 499 | Train: 0.024340 | Test: 0.025158 
Epoch  165/ 499 | Train: 0.024338 | Test: 0.025147 
Epoch  166/ 499 | Train: 0.024339 | Test: 0.025151 
Epoch  167/ 499 | Train: 0.024338 | Test: 0.025151 
Epoch  168/ 499 | Train: 0.024334 | Test: 0.025153 
Epoch  169/ 499 | Train: 0.024335 | Test: 0.025158 
Epoch  170/ 499 | Train: 0.024332 | Test: 0.025144 
Epoch  171/ 499 | Train: 0.024329 | Test: 0.025142 
Epoch  172/ 499 | Train: 0.024331 | Test: 0.025158 
Epoch  173/ 499 | Train: 0.024320 | Test: 0.025153 
Epoch  174/ 499 | Train: 0.024320 | Test: 0.025150 
Epoch  175/ 499 | Train: 0.024319 | Test: 0.025147 
Epoch  176/ 499 | Train: 0.024319 | Test: 0.025147 
Epoch  177/ 499 | Train: 0.024318 | Test: 0.025147 
Epoch  178/ 499 | Train: 0.024318 | Test: 0.025146 
Epoch  179/ 499 | Train: 0.024318 | Test: 0.025146 
Epoch  180/ 499 | Train: 0.024318 | Test: 0.025146 
Epoch  181/ 499 | Train: 0.024317 | Test: 0.025146 
Epoch  182/ 499 | Train: 0.024317 | Test: 0.025147 
Epoch  183/ 499 | Train: 0.024317 | Test: 0.025146 
Epoch  184/ 499 | Train: 0.024316 | Test: 0.025146 
Epoch  185/ 499 | Train: 0.024316 | Test: 0.025146 
Epoch  186/ 499 | Train: 0.024316 | Test: 0.025145 
Epoch  187/ 499 | Train: 0.024316 | Test: 0.025145 
Epoch  188/ 499 | Train: 0.024316 | Test: 0.025145 
Epoch  189/ 499 | Train: 0.024315 | Test: 0.025145 
Epoch  190/ 499 | Train: 0.024315 | Test: 0.025144 
Epoch  191/ 499 | Train: 0.024315 | Test: 0.025145 
Epoch  192/ 499 | Train: 0.024315 | Test: 0.025147 
Epoch  193/ 499 | Train: 0.024314 | Test: 0.025147 
Epoch  194/ 499 | Train: 0.024314 | Test: 0.025146 
Epoch  195/ 499 | Train: 0.024314 | Test: 0.025146 
Epoch  196/ 499 | Train: 0.024314 | Test: 0.025145 
Epoch  197/ 499 | Train: 0.024314 | Test: 0.025145 
Epoch  198/ 499 | Train: 0.024313 | Test: 0.025146 
Epoch  199/ 499 | Train: 0.024313 | Test: 0.025145 
Epoch  200/ 499 | Train: 0.024312 | Test: 0.025145 

 Target: tensor([0.4351, 0.2372, 0.4562, 0.0231, 0.2249, 0.4135, 0.5371, 0.0231]) 
Predicted: tensor([0.4996, 0.4974, 0.5132, 0.0574, 0.2251, 0.4645, 0.5187, 0.0538],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.8092, 0.7647, 0.5629, 0.0730, 0.1909, 0.2333, 0.6115, 0.0730]) 
Predicted: tensor([0.4946, 0.4970, 0.4955, 0.0942, 0.1880, 0.2752, 0.5655, 0.0920],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.4237, 0.7317, 0.8553, 0.2388, 0.1628, 0.6739, 0.6380, 0.2388]) 
Predicted: tensor([0.4802, 0.4990, 0.5505, 0.3189, 0.1318, 0.7026, 0.6473, 0.3240],
       grad_fn=<SelectBackward0>) 

Epoch  201/ 499 | Train: 0.024313 | Test: 0.025145 
Epoch  202/ 499 | Train: 0.024312 | Test: 0.025145 
Epoch  203/ 499 | Train: 0.024312 | Test: 0.025144 
Epoch  204/ 499 | Train: 0.024311 | Test: 0.025144 
