Samples: 10000, Batch size: 30, Epochs: 2000, Noise: 10 %
Learning rate: 0.001, Momentum: 1e-06, Weight decay: 0 %
 

Eeg Data: data/new/multiple_dipoles_eeg_10000_1.npy
Target Data: data/new/multiple_dipoles_locations_10000_1.npy
--------------------------------------------------------------
Epoch    0/1999 | Train:  0.440 | Test:  0.326 

 Target: tensor([0.3366, 0.1540, 0.6498, 1.0000]) 
Predicted: tensor([-0.0611,  0.1369, -0.0618,  0.2331], grad_fn=<SelectBackward0>) 

 Target: tensor([0.5467, 0.8810, 0.5586, 0.3750]) 
Predicted: tensor([-0.0587,  0.1335, -0.0614,  0.2319], grad_fn=<SelectBackward0>) 

 Target: tensor([0.4223, 0.3414, 0.9488, 0.5000]) 
Predicted: tensor([-0.0597,  0.1344, -0.0585,  0.2325], grad_fn=<SelectBackward0>) 

Epoch   96/1999 | Train:  0.088 | Test:  0.053 
Epoch   97/1999 | Train:  0.088 | Test:  0.053 
Epoch   98/1999 | Train:  0.088 | Test:  0.053 
Epoch   99/1999 | Train:  0.088 | Test:  0.053 
Epoch  100/1999 | Train:  0.088 | Test:  0.053 

 Target: tensor([0.3366, 0.1540, 0.6498, 1.0000]) 
Predicted: tensor([0.5587, 0.4734, 0.6431, 0.4988], grad_fn=<SelectBackward0>) 

 Target: tensor([0.5467, 0.8810, 0.5586, 0.3750]) 
Predicted: tensor([0.5614, 0.4715, 0.6440, 0.4970], grad_fn=<SelectBackward0>) 

 Target: tensor([0.4223, 0.3414, 0.9488, 0.5000]) 
Predicted: tensor([0.5608, 0.4719, 0.6478, 0.4979], grad_fn=<SelectBackward0>) 

Epoch  101/1999 | Train:  0.088 | Test:  0.053 
Epoch  102/1999 | Train:  0.088 | Test:  0.053 
Epoch  103/1999 | Train:  0.088 | Test:  0.053 
Epoch  104/1999 | Train:  0.088 | Test:  0.053 
Epoch  105/1999 | Train:  0.088 | Test:  0.053 
Epoch  106/1999 | Train:  0.088 | Test:  0.053 
Epoch  107/1999 | Train:  0.088 | Test:  0.053 
Epoch  108/1999 | Train:  0.088 | Test:  0.053 
Epoch  109/1999 | Train:  0.088 | Test:  0.053 
Epoch  110/1999 | Train:  0.088 | Test:  0.053 
Epoch  111/1999 | Train:  0.088 | Test:  0.053 
Epoch  112/1999 | Train:  0.088 | Test:  0.053 
Epoch  113/1999 | Train:  0.088 | Test:  0.053 
Epoch  114/1999 | Train:  0.088 | Test:  0.053 
Epoch  115/1999 | Train:  0.088 | Test:  0.053 
Epoch  116/1999 | Train:  0.088 | Test:  0.053 
Epoch  117/1999 | Train:  0.088 | Test:  0.053 
Epoch  118/1999 | Train:  0.088 | Test:  0.053 
Epoch  119/1999 | Train:  0.088 | Test:  0.053 
Epoch  120/1999 | Train:  0.088 | Test:  0.053 
Epoch  121/1999 | Train:  0.088 | Test:  0.053 
Epoch  122/1999 | Train:  0.088 | Test:  0.053 
Epoch  123/1999 | Train:  0.088 | Test:  0.053 
Epoch  124/1999 | Train:  0.088 | Test:  0.053 
Epoch  125/1999 | Train:  0.088 | Test:  0.053 
Epoch  126/1999 | Train:  0.088 | Test:  0.053 
Epoch  127/1999 | Train:  0.088 | Test:  0.053 
Epoch  128/1999 | Train:  0.088 | Test:  0.053 
Epoch  129/1999 | Train:  0.088 | Test:  0.053 
Epoch  130/1999 | Train:  0.088 | Test:  0.053 
Epoch  131/1999 | Train:  0.088 | Test:  0.053 
Epoch  132/1999 | Train:  0.088 | Test:  0.053 
Epoch  133/1999 | Train:  0.088 | Test:  0.053 
Epoch  134/1999 | Train:  0.088 | Test:  0.053 
Epoch  135/1999 | Train:  0.088 | Test:  0.053 
Epoch  136/1999 | Train:  0.088 | Test:  0.053 
Epoch  137/1999 | Train:  0.088 | Test:  0.053 
