Samples: 10000, Batch size: 32, Epochs: 500, Noise: 5 %
Learning rate: 0.9, Momentum: 0.0001, Weight decay: 1e-05 %
 

Eeg Data: data/new/multiple_dipoles_eeg_10000_2.npy
Target Data: data/new/multiple_dipoles_locations_10000_2.npy
--------------------------------------------------------------
Epoch    0/ 499 | Train: 0.040509 | Test: 0.033216 

 Target: tensor([0.4351, 0.2372, 0.4562, 0.0231, 0.2249, 0.4135, 0.5371, 0.0231]) 
Predicted: tensor([0.5105, 0.4852, 0.5063, 0.1301, 0.4960, 0.4711, 0.5227, 0.1254],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.8092, 0.7647, 0.5629, 0.0730, 0.1909, 0.2333, 0.6115, 0.0730]) 
Predicted: tensor([0.4984, 0.4827, 0.5091, 0.1691, 0.5148, 0.4013, 0.5573, 0.1679],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.4237, 0.7317, 0.8553, 0.2388, 0.1628, 0.6739, 0.6380, 0.2388]) 
Predicted: tensor([0.5124, 0.5050, 0.5571, 0.3719, 0.3988, 0.6859, 0.6644, 0.3783],
       grad_fn=<SelectBackward0>) 

Epoch    1/ 499 | Train: 0.030303 | Test: 0.028015 
Epoch    2/ 499 | Train: 0.028963 | Test: 0.027304 
Epoch    3/ 499 | Train: 0.028047 | Test: 0.029180 
Epoch    4/ 499 | Train: 0.027835 | Test: 0.027044 
Epoch    5/ 499 | Train: 0.027307 | Test: 0.026743 
Epoch    6/ 499 | Train: 0.027211 | Test: 0.026634 
Epoch    7/ 499 | Train: 0.027039 | Test: 0.027068 
Epoch    8/ 499 | Train: 0.026716 | Test: 0.026691 
Epoch    9/ 499 | Train: 0.026650 | Test: 0.026272 
Epoch   10/ 499 | Train: 0.026423 | Test: 0.025985 
Epoch   11/ 499 | Train: 0.026256 | Test: 0.025990 
Epoch   12/ 499 | Train: 0.026266 | Test: 0.025910 
Epoch   13/ 499 | Train: 0.026038 | Test: 0.025877 
Epoch   14/ 499 | Train: 0.026056 | Test: 0.026139 
Epoch   15/ 499 | Train: 0.025774 | Test: 0.025414 
Epoch   16/ 499 | Train: 0.025663 | Test: 0.025390 
Epoch   17/ 499 | Train: 0.025719 | Test: 0.025278 
Epoch   18/ 499 | Train: 0.025594 | Test: 0.025382 
Epoch   19/ 499 | Train: 0.025541 | Test: 0.025608 
Epoch   20/ 499 | Train: 0.025467 | Test: 0.025393 
Epoch   21/ 499 | Train: 0.025419 | Test: 0.025580 
Epoch   22/ 499 | Train: 0.025377 | Test: 0.025923 
Epoch   23/ 499 | Train: 0.025248 | Test: 0.025992 
Epoch   24/ 499 | Train: 0.025304 | Test: 0.025455 
Epoch   25/ 499 | Train: 0.025179 | Test: 0.025706 
Epoch   26/ 499 | Train: 0.025107 | Test: 0.025204 
Epoch   27/ 499 | Train: 0.025162 | Test: 0.025520 
Epoch   28/ 499 | Train: 0.025098 | Test: 0.025651 
Epoch   29/ 499 | Train: 0.025029 | Test: 0.024937 
Epoch   30/ 499 | Train: 0.024965 | Test: 0.025626 
Epoch   31/ 499 | Train: 0.025029 | Test: 0.025192 
Epoch   32/ 499 | Train: 0.024989 | Test: 0.025042 
