Samples: 30000, Batch size: 30, Epochs: 500, Noise: 15 %

Eeg Data: data/multiple_dipoles_eeg_30000_2.npy
Location Data: data/multiple_dipoles_locations_30000_2.npy
Mean and std Data: data/multiple_dipoles_2_eeg_mean_std_30000.npy
--------------------------------------------------------------
epoch  0, train loss:  1493.200, test loss:  1439.544 
epoch  1, train loss:  1411.006, test loss:  1367.879 
epoch  2, train loss:  1360.663, test loss:  1337.130 
epoch  3, train loss:  1339.956, test loss:  1324.916 
epoch  4, train loss:  1331.623, test loss:  1320.105 
epoch  5, train loss:  1328.243, test loss:  1318.190 
epoch  6, train loss:  1326.784, test loss:  1317.271 
epoch  7, train loss:  1325.634, test loss:  1314.823 
epoch  8, train loss:  1261.325, test loss:  1199.136 
epoch  9, train loss:  1187.703, test loss:  1164.016 
epoch 10, train loss:  1160.761, test loss:  1142.807 
epoch 11, train loss:  1138.311, test loss:  1121.103 
epoch 12, train loss:  1119.612, test loss:  1105.232 
epoch 13, train loss:  1104.864, test loss:  1093.803 
epoch 14, train loss:  1093.279, test loss:  1082.364 
epoch 15, train loss:  1084.076, test loss:  1075.283 
epoch 16, train loss:  1076.484, test loss:  1068.330 
epoch 17, train loss:  1070.017, test loss:  1062.298 
epoch 18, train loss:  1064.622, test loss:  1058.010 
epoch 19, train loss:  1060.144, test loss:  1054.151 
epoch 20, train loss:  1055.705, test loss:  1049.795 
epoch 21, train loss:  1050.244, test loss:  1042.457 
epoch 22, train loss:  1037.676, test loss:  1024.673 
epoch 23, train loss:  1018.310, test loss:  1003.834 
epoch 24, train loss:   992.887, test loss:   975.563 
epoch 25, train loss:   964.640, test loss:   947.630 
epoch 26, train loss:   937.553, test loss:   922.437 
epoch 27, train loss:   913.187, test loss:   899.794 
epoch 28, train loss:   891.393, test loss:   879.077 
epoch 29, train loss:   872.643, test loss:   862.164 
epoch 30, train loss:   855.763, test loss:   846.392 
epoch 31, train loss:   841.423, test loss:   833.897 
epoch 32, train loss:   829.166, test loss:   822.749 
epoch 33, train loss:   818.386, test loss:   811.849 
epoch 34, train loss:   808.718, test loss:   802.384 
epoch 35, train loss:   799.591, test loss:   794.973 
epoch 36, train loss:   791.770, test loss:   788.509 
epoch 37, train loss:   784.393, test loss:   780.699 
epoch 38, train loss:   777.773, test loss:   774.153 
epoch 39, train loss:   771.857, test loss:   769.575 
epoch 40, train loss:   766.348, test loss:   764.080 
epoch 41, train loss:   761.437, test loss:   760.289 
epoch 42, train loss:   756.661, test loss:   754.534 
epoch 43, train loss:   752.619, test loss:   751.543 
epoch 44, train loss:   748.919, test loss:   746.868 
epoch 45, train loss:   745.540, test loss:   744.223 
epoch 46, train loss:   742.044, test loss:   740.946 
epoch 47, train loss:   739.334, test loss:   738.915 
epoch 48, train loss:   736.461, test loss:   736.436 
epoch 49, train loss:   733.799, test loss:   733.271 
epoch 50, train loss:   731.483, test loss:   731.368 
epoch 51, train loss:   729.512, test loss:   729.441 
epoch 52, train loss:   727.684, test loss:   728.189 
epoch 53, train loss:   725.664, test loss:   726.042 
epoch 54, train loss:   723.973, test loss:   724.020 
epoch 55, train loss:   722.379, test loss:   723.731 
epoch 56, train loss:   720.882, test loss:   722.246 
epoch 57, train loss:   719.258, test loss:   719.434 
epoch 58, train loss:   717.935, test loss:   720.463 
epoch 59, train loss:   716.688, test loss:   717.693 
epoch 60, train loss:   715.582, test loss:   717.473 
epoch 61, train loss:   714.211, test loss:   715.847 
epoch 62, train loss:   713.279, test loss:   715.191 
epoch 63, train loss:   712.187, test loss:   714.125 
epoch 64, train loss:   711.170, test loss:   713.785 
epoch 65, train loss:   710.444, test loss:   713.372 
epoch 66, train loss:   709.376, test loss:   712.008 
epoch 67, train loss:   708.621, test loss:   711.120 
epoch 68, train loss:   707.841, test loss:   710.771 
epoch 69, train loss:   707.103, test loss:   708.771 
epoch 70, train loss:   706.238, test loss:   710.130 
epoch 71, train loss:   705.789, test loss:   708.331 
epoch 72, train loss:   704.954, test loss:   708.087 
epoch 73, train loss:   704.298, test loss:   707.183 
epoch 74, train loss:   703.641, test loss:   706.110 
epoch 75, train loss:   703.208, test loss:   707.943 
epoch 76, train loss:   702.734, test loss:   704.196 
epoch 77, train loss:   702.048, test loss:   705.317 
epoch 78, train loss:   701.494, test loss:   705.256 
epoch 79, train loss:   701.036, test loss:   705.007 
epoch 80, train loss:   700.695, test loss:   704.864 
epoch 81, train loss:   700.290, test loss:   704.193 
epoch 82, train loss:   699.818, test loss:   704.000 
epoch 83, train loss:   699.270, test loss:   703.781 
epoch 84, train loss:   698.854, test loss:   703.481 
epoch 85, train loss:   698.381, test loss:   702.323 
epoch 86, train loss:   698.051, test loss:   701.950 
epoch 87, train loss:   697.537, test loss:   702.633 
epoch 88, train loss:   697.391, test loss:   701.804 
epoch 89, train loss:   696.859, test loss:   701.171 
epoch 90, train loss:   696.588, test loss:   701.036 
epoch 91, train loss:   696.256, test loss:   701.841 
epoch 92, train loss:   696.002, test loss:   699.349 
epoch 93, train loss:   695.753, test loss:   702.478 
epoch 94, train loss:   695.372, test loss:   701.279 
epoch 95, train loss:   695.317, test loss:   699.494 
epoch 96, train loss:   694.833, test loss:   700.389 
epoch 97, train loss:   694.668, test loss:   698.789 
epoch 98, train loss:   694.336, test loss:   699.300 
epoch 99, train loss:   694.056, test loss:   699.274 
epoch 100, train loss:   693.684, test loss:   698.233 
epoch 101, train loss:   693.572, test loss:   698.301 
epoch 102, train loss:   693.368, test loss:   698.969 
epoch 103, train loss:   693.110, test loss:   698.061 
epoch 104, train loss:   692.945, test loss:   697.988 
epoch 105, train loss:   692.493, test loss:   697.765 
epoch 106, train loss:   692.730, test loss:   697.317 
epoch 107, train loss:   692.137, test loss:   698.191 
epoch 108, train loss:   692.132, test loss:   698.304 
epoch 109, train loss:   692.038, test loss:   697.233 
epoch 110, train loss:   691.860, test loss:   696.941 
epoch 111, train loss:   691.607, test loss:   697.053 
epoch 112, train loss:   691.380, test loss:   696.174 
epoch 113, train loss:   690.959, test loss:   696.923 
epoch 114, train loss:   690.928, test loss:   696.907 
epoch 115, train loss:   690.773, test loss:   695.740 
epoch 116, train loss:   690.696, test loss:   696.534 
epoch 117, train loss:   690.549, test loss:   696.003 
epoch 118, train loss:   690.254, test loss:   696.558 
epoch 119, train loss:   690.276, test loss:   696.185 
epoch 120, train loss:   690.035, test loss:   695.629 
epoch 121, train loss:   689.941, test loss:   695.596 
epoch 122, train loss:   689.735, test loss:   694.945 
epoch 123, train loss:   689.644, test loss:   695.642 
epoch 124, train loss:   689.337, test loss:   695.836 
epoch 125, train loss:   689.176, test loss:   694.995 
epoch 126, train loss:   689.134, test loss:   696.426 
epoch 127, train loss:   688.965, test loss:   695.656 
epoch 128, train loss:   689.093, test loss:   696.090 
epoch 129, train loss:   688.693, test loss:   694.868 
epoch 130, train loss:   688.421, test loss:   696.387 
epoch 131, train loss:   688.593, test loss:   695.781 
epoch 132, train loss:   688.508, test loss:   694.388 
epoch 133, train loss:   688.287, test loss:   695.148 
epoch 134, train loss:   687.981, test loss:   694.971 
epoch 135, train loss:   688.089, test loss:   694.733 
epoch 136, train loss:   687.785, test loss:   694.305 
epoch 137, train loss:   687.849, test loss:   694.412 
epoch 138, train loss:   687.575, test loss:   695.246 
epoch 139, train loss:   687.687, test loss:   694.021 
epoch 140, train loss:   687.584, test loss:   694.184 
epoch 141, train loss:   687.246, test loss:   693.982 
epoch 142, train loss:   687.629, test loss:   693.972 
epoch 143, train loss:   687.143, test loss:   693.812 
epoch 144, train loss:   687.119, test loss:   694.054 
epoch 145, train loss:   686.948, test loss:   694.100 
epoch 146, train loss:   686.916, test loss:   694.111 
epoch 147, train loss:   686.864, test loss:   695.768 
epoch 148, train loss:   686.626, test loss:   694.653 
epoch 149, train loss:   686.483, test loss:   694.628 
epoch 150, train loss:   686.490, test loss:   696.005 
epoch 151, train loss:   686.516, test loss:   693.658 
epoch 152, train loss:   686.165, test loss:   694.475 
epoch 153, train loss:   686.099, test loss:   693.783 
epoch 154, train loss:   686.106, test loss:   694.326 
epoch 155, train loss:   686.008, test loss:   694.038 
epoch 156, train loss:   686.138, test loss:   692.355 
epoch 157, train loss:   685.800, test loss:   694.769 
epoch 158, train loss:   685.579, test loss:   693.546 
epoch 159, train loss:   685.842, test loss:   694.608 
epoch 160, train loss:   685.834, test loss:   693.618 
epoch 161, train loss:   685.542, test loss:   692.890 
epoch 162, train loss:   685.565, test loss:   694.158 
epoch 163, train loss:   685.555, test loss:   693.697 
epoch 164, train loss:   685.316, test loss:   695.696 
epoch 165, train loss:   685.276, test loss:   692.989 
epoch 166, train loss:   685.298, test loss:   693.243 
epoch 167, train loss:   685.223, test loss:   693.102 
epoch 168, train loss:   685.082, test loss:   693.242 
epoch 169, train loss:   684.868, test loss:   692.783 
epoch 170, train loss:   685.011, test loss:   693.356 
epoch 171, train loss:   684.939, test loss:   693.164 
epoch 172, train loss:   684.840, test loss:   694.566 
epoch 173, train loss:   684.769, test loss:   692.936 
epoch 174, train loss:   684.605, test loss:   693.022 
epoch 175, train loss:   684.657, test loss:   692.541 
epoch 176, train loss:   684.652, test loss:   692.542 
epoch 177, train loss:   684.379, test loss:   693.171 
epoch 178, train loss:   684.201, test loss:   692.536 
epoch 179, train loss:   684.082, test loss:   692.982 
epoch 180, train loss:   684.403, test loss:   693.783 
epoch 181, train loss:   684.268, test loss:   692.883 
epoch 182, train loss:   684.157, test loss:   693.416 
epoch 183, train loss:   684.066, test loss:   692.859 
epoch 184, train loss:   684.065, test loss:   691.802 
epoch 185, train loss:   684.040, test loss:   691.864 
epoch 186, train loss:   683.972, test loss:   693.312 
epoch 187, train loss:   683.816, test loss:   692.305 
epoch 188, train loss:   683.780, test loss:   693.516 
epoch 189, train loss:   683.837, test loss:   692.821 
epoch 190, train loss:   683.728, test loss:   693.227 
epoch 191, train loss:   683.625, test loss:   692.036 
epoch 192, train loss:   683.429, test loss:   692.466 
epoch 193, train loss:   683.497, test loss:   692.774 
epoch 194, train loss:   683.593, test loss:   692.076 
epoch 195, train loss:   683.380, test loss:   693.175 
epoch 196, train loss:   683.296, test loss:   692.602 
epoch 197, train loss:   683.345, test loss:   692.457 
epoch 198, train loss:   683.343, test loss:   693.311 
epoch 199, train loss:   683.041, test loss:   691.936 
epoch 200, train loss:   683.116, test loss:   690.999 
epoch 201, train loss:   683.119, test loss:   692.655 
epoch 202, train loss:   682.888, test loss:   692.859 
epoch 203, train loss:   683.134, test loss:   691.568 
epoch 204, train loss:   682.958, test loss:   691.403 
epoch 205, train loss:   682.887, test loss:   692.807 
epoch 206, train loss:   682.750, test loss:   691.749 
epoch 207, train loss:   682.833, test loss:   692.688 
epoch 208, train loss:   682.797, test loss:   692.869 
epoch 209, train loss:   682.637, test loss:   692.186 
epoch 210, train loss:   682.588, test loss:   692.240 
epoch 211, train loss:   682.457, test loss:   693.569 
epoch 212, train loss:   682.761, test loss:   690.643 
epoch 213, train loss:   682.234, test loss:   691.750 
epoch 214, train loss:   682.490, test loss:   691.648 
epoch 215, train loss:   682.349, test loss:   692.022 
epoch 216, train loss:   682.161, test loss:   692.258 
epoch 217, train loss:   682.168, test loss:   691.594 
epoch 218, train loss:   682.290, test loss:   691.819 
epoch 219, train loss:   682.178, test loss:   691.626 
epoch 220, train loss:   682.176, test loss:   691.045 
epoch 221, train loss:   682.233, test loss:   691.657 
epoch 222, train loss:   682.041, test loss:   691.404 
epoch 223, train loss:   682.240, test loss:   691.210 
epoch 224, train loss:   681.931, test loss:   692.042 
epoch 225, train loss:   682.011, test loss:   691.947 
epoch 226, train loss:   681.878, test loss:   691.456 
epoch 227, train loss:   681.876, test loss:   690.973 
epoch 228, train loss:   681.783, test loss:   691.840 
epoch 229, train loss:   681.830, test loss:   690.576 
epoch 230, train loss:   681.860, test loss:   692.011 
epoch 231, train loss:   681.642, test loss:   690.633 
epoch 232, train loss:   681.751, test loss:   691.789 
epoch 233, train loss:   681.639, test loss:   691.406 
epoch 234, train loss:   681.731, test loss:   691.572 
epoch 235, train loss:   681.499, test loss:   692.037 
epoch 236, train loss:   681.590, test loss:   691.562 
epoch 237, train loss:   681.342, test loss:   692.578 
epoch 238, train loss:   681.615, test loss:   692.638 
epoch 239, train loss:   681.462, test loss:   692.399 
epoch 240, train loss:   681.525, test loss:   691.525 
epoch 241, train loss:   681.390, test loss:   691.527 
epoch 242, train loss:   681.175, test loss:   690.911 
epoch 243, train loss:   681.265, test loss:   691.193 
epoch 244, train loss:   681.141, test loss:   692.062 
